,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
553,14,1,1.0,1.0,0.6,1.4,43.0,18,6.0,2.0,17.2,0.0,0.0,0.0,1,0,12,5,1.0,1.0,11.333333333333334,3.333333333333333,16.599999999999998,0.3333333333333333,0.0,0.0,6,0,0
554,15,0,2.0,2.0,0.4,2.6,28.0,18,5.0,3.0,14.1,0.0,0.0,0.0,0,12,15,5,1.3333333333333333,1.0,8.0,2.6666666666666665,16.53333333333333,0.0,0.0,0.0,6,0,0
555,16,1,0.0,2.0,0.6,1.1,45.0,18,6.0,0.0,14.5,0.0,0.0,0.0,1,16,19,1,1.3333333333333333,1.3333333333333333,5.333333333333333,2.333333333333333,16.9,0.0,0.0,0.0,6,1,0
556,18,0,1.0,3.0,1.1,2.5,53.0,10,10.0,2.0,16.0,0.0,0.0,0.0,0,7,12,5,1.0,1.6666666666666667,5.666666666666667,1.6666666666666667,15.266666666666666,0.0,0.0,0.0,6,1,0
557,19,1,1.0,0.0,1.6,0.2,45.0,15,18.0,9.0,16.8,2.0,0.0,0.0,1,14,15,5,1.0,2.333333333333333,7.0,1.6666666666666667,14.866666666666664,0.0,0.0,0.0,6,0,1
558,20,0,1.0,0.0,2.5,2.2,35.0,10,12.0,3.0,10.8,0.0,0.0,0.0,0,4,12,5,0.6666666666666666,1.6666666666666667,11.333333333333334,3.6666666666666665,15.766666666666666,0.6666666666666666,0.0,0.0,6,0,1
559,23,0,2.0,0.0,0.8,0.5,42.0,15,7.0,2.0,18.5,1.0,0.0,0.0,0,2,19,5,1.0,1.0,13.333333333333334,4.666666666666667,14.533333333333331,0.6666666666666666,0.0,0.0,6,0,1
560,24,0,0.0,4.0,0.1,2.4,27.0,10,3.0,0.0,29.0,0.0,0.0,0.0,0,11,20,2,1.3333333333333333,0.0,12.333333333333334,4.666666666666667,15.366666666666664,1.0,0.0,0.0,6,1,0
561,26,0,0.0,3.0,0.8,2.8,48.0,18,7.0,1.0,15.6,1.0,0.0,0.0,0,10,15,5,1.0,1.3333333333333333,7.333333333333333,1.6666666666666667,19.433333333333334,0.3333333333333333,0.0,0.0,6,1,0
562,27,1,2.0,3.0,1.5,1.9,43.0,18,13.0,4.0,17.8,0.0,0.0,0.0,1,5,18,1,0.6666666666666666,2.333333333333333,5.666666666666667,1.0,21.03333333333333,0.6666666666666666,0.0,0.0,6,1,0
