,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
631,7,1,1.0,2.0,0.6,1.5,65.0,12,7.0,2.0,18.2,0.0,0.0,0.0,2022-01-01,1,1,14,6,2.6666666666666665,2.0,15.333333333333334,5.666666666666667,17.63333333333333,1.0,0.0,0.0,4,1,0,0
632,8,0,3.0,1.0,0.6,1.9,66.0,12,7.0,4.0,13.7,0.0,0.0,0.0,2022-01-01,0,16,15,0,2.6666666666666665,1.6666666666666667,15.0,5.666666666666667,17.099999999999998,1.0,0.0,0.0,4,0,0,1
633,9,1,2.0,4.0,1.2,2.9,68.0,12,9.0,5.0,13.5,0.0,0.0,0.0,2022-01-01,1,0,17,5,2.333333333333333,1.6666666666666667,11.0,4.666666666666667,16.366666666666664,1.0,0.0,0.0,4,1,0,0
634,10,0,4.0,1.0,2.2,1.3,51.0,12,19.0,8.0,18.9,1.0,0.0,0.0,2022-01-01,0,7,19,1,2.0,2.333333333333333,7.666666666666667,3.6666666666666665,15.133333333333333,0.0,0.0,0.0,4,0,0,1
635,12,1,3.0,0.0,1.9,1.0,61.0,12,16.0,8.0,16.3,0.0,0.0,0.0,2022-01-01,1,11,15,5,3.0,2.0,11.666666666666666,5.666666666666667,15.366666666666664,0.3333333333333333,0.0,0.0,4,0,0,1
636,13,0,2.0,2.0,1.7,0.9,63.0,12,13.0,4.0,17.0,0.0,0.0,0.0,2022-01-01,0,10,15,5,3.0,1.6666666666666667,14.666666666666666,7.0,16.23333333333333,0.3333333333333333,0.0,0.0,4,0,1,0
637,14,1,1.0,0.0,2.2,1.1,71.0,4,20.0,6.0,16.3,0.0,0.0,0.0,2022-01-01,1,2,15,5,3.0,1.0,16.0,6.666666666666667,17.399999999999995,0.3333333333333333,0.0,0.0,4,0,0,1
638,15,0,1.0,1.0,2.5,1.1,73.0,12,17.0,7.0,13.6,1.0,0.0,0.0,2022-01-01,0,6,15,5,2.0,0.6666666666666666,16.333333333333332,6.0,16.53333333333333,0.0,0.0,0.0,4,0,1,0
639,16,1,0.0,1.0,2.2,0.3,65.0,12,21.0,7.0,15.6,1.0,0.0,0.0,2022-01-01,1,8,15,5,1.3333333333333333,1.0,16.666666666666668,5.666666666666667,15.633333333333333,0.3333333333333333,0.0,0.0,4,1,0,0
640,18,1,4.0,0.0,3.5,0.3,65.0,12,19.0,8.0,16.3,0.0,1.0,1.0,2022-01-01,1,18,15,5,0.6666666666666666,0.6666666666666666,19.33333333333333,6.666666666666667,15.166666666666664,0.6666666666666666,0.0,0.0,4,0,0,1
