,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
239,35,0.0,4.0,1.2,2.6,27.0,18,8.0,5.0,14.9,0.0,0.0,0.0,0,0,19,2,7,0,1,0
240,18,2.0,2.0,1.7,0.8,43.0,18,9.0,2.0,17.0,0.0,1.0,1.0,0,15,14,6,7,0,0,1
241,19,1.0,0.0,1.0,2.0,33.0,18,13.0,6.0,17.0,1.0,0.0,0.0,1,3,15,5,7,1,0,0
242,20,2.0,2.0,1.2,2.3,32.0,18,12.0,3.0,18.9,1.0,0.0,0.0,0,5,17,5,7,0,0,1
243,21,1.0,1.0,0.9,1.4,39.0,10,15.0,6.0,19.3,0.0,0.0,0.0,1,17,20,0,7,0,0,1
244,23,0.0,2.0,1.0,3.4,37.0,17,15.0,1.0,18.0,0.0,0.0,0.0,0,13,12,5,7,0,1,0
245,24,1.0,3.0,1.4,1.8,46.0,17,15.0,7.0,17.1,0.0,0.0,0.0,1,8,15,5,7,0,1,0
246,0,2.0,2.0,1.2,1.2,33.0,12,8.0,2.0,18.4,0.0,1.0,1.0,1,11,12,5,8,0,0,1
247,11,0.0,0.0,1.5,0.9,41.0,12,8.0,2.0,15.7,0.0,0.0,1.0,0,19,15,5,8,0,0,1
248,22,3.0,2.0,2.4,1.8,43.0,12,18.0,9.0,15.5,1.0,0.0,0.0,1,3,15,5,8,1,0,0
249,32,1.0,2.0,0.8,2.6,29.0,12,11.0,3.0,13.7,0.0,0.0,0.0,0,0,17,5,8,0,1,0
250,33,2.0,1.0,0.7,1.4,39.0,12,10.0,3.0,15.3,1.0,0.0,0.0,1,4,19,1,8,1,0,0
251,34,1.0,2.0,0.7,2.9,48.0,12,9.0,3.0,17.1,0.0,0.0,0.0,0,17,15,5,8,0,1,0
252,36,3.0,2.0,0.9,1.4,59.0,12,15.0,7.0,17.3,2.0,0.0,0.0,0,15,20,4,8,1,0,0
253,37,1.0,4.0,0.5,3.3,33.0,12,3.0,1.0,16.2,0.0,0.0,0.0,1,14,15,5,8,0,1,0
254,1,1.0,3.0,0.7,2.4,50.0,12,8.0,2.0,16.6,1.0,0.0,0.0,0,18,14,6,8,0,1,0
255,2,2.0,2.0,2.1,1.0,69.0,12,18.0,3.0,18.9,0.0,1.0,1.0,1,2,15,5,8,0,0,1
256,3,3.0,0.0,2.1,1.2,60.0,12,17.0,6.0,16.7,1.0,1.0,1.0,1,1,19,3,8,1,0,0
257,4,3.0,2.0,1.8,1.6,43.0,12,11.0,4.0,11.9,0.0,0.0,0.0,0,9,14,6,8,1,0,0
258,5,0.0,0.0,1.9,0.9,56.0,12,24.0,6.0,16.4,0.0,0.0,0.0,1,7,17,5,8,0,0,1
259,6,1.0,2.0,1.0,2.1,30.0,12,3.0,1.0,26.2,0.0,1.0,1.0,0,12,15,5,8,0,1,0
260,7,1.0,2.0,1.4,2.5,53.0,12,14.0,7.0,14.0,0.0,0.0,0.0,1,13,16,6,8,0,1,0
261,8,3.0,0.0,2.5,0.4,64.0,12,23.0,10.0,13.4,1.0,0.0,0.0,0,6,15,0,8,1,0,0
262,9,2.0,1.0,1.5,0.8,62.0,12,7.0,1.0,18.8,0.0,0.0,1.0,1,16,15,5,8,1,0,0
263,10,1.0,0.0,1.7,1.7,39.0,12,11.0,2.0,19.4,0.0,0.0,0.0,0,10,19,1,8,1,0,0
264,35,2.0,1.0,1.0,2.1,48.0,12,8.0,3.0,15.3,0.0,0.0,0.0,1,5,20,3,8,1,0,0
265,12,0.0,1.0,1.1,2.2,38.0,12,4.0,0.0,18.9,0.0,0.0,1.0,0,14,14,6,8,0,1,0
266,13,0.0,1.0,1.0,0.9,54.0,12,10.0,5.0,17.3,1.0,0.0,0.0,1,17,20,0,8,0,1,0
267,14,0.0,0.0,0.6,1.3,34.0,12,10.0,4.0,23.0,0.0,0.0,0.0,0,5,20,4,8,0,0,1
268,15,2.0,0.0,1.5,0.7,50.0,12,16.0,3.0,15.0,1.0,0.0,0.0,1,15,15,5,8,1,0,0
269,16,1.0,0.0,0.3,2.2,35.0,12,5.0,2.0,16.0,0.0,0.0,0.0,0,4,15,5,8,1,0,0
270,17,1.0,1.0,0.5,0.8,51.0,12,10.0,5.0,24.2,1.0,0.0,0.0,1,19,20,4,8,0,0,1
271,18,2.0,3.0,1.4,2.2,63.0,12,9.0,5.0,17.4,1.0,0.0,0.0,0,3,20,0,8,0,1,0
272,19,0.0,3.0,0.8,2.3,45.0,12,12.0,2.0,17.4,0.0,0.0,0.0,1,0,14,6,8,0,1,0
273,21,1.0,2.0,0.8,2.6,57.0,12,10.0,2.0,16.5,0.0,0.0,0.0,0,2,15,5,8,0,1,0
274,23,0.0,1.0,0.7,1.1,76.0,12,16.0,3.0,20.5,0.0,0.0,0.0,1,18,15,5,8,0,1,0
275,24,3.0,1.0,1.8,1.4,54.0,12,21.0,7.0,17.9,0.0,0.0,0.0,0,7,15,5,8,1,0,0
276,0,2.0,1.0,0.8,1.3,40.0,12,12.0,4.0,18.6,1.0,0.0,0.0,1,19,15,5,9,1,0,0
277,11,2.0,2.0,1.8,1.2,57.0,12,13.0,5.0,12.0,0.0,0.0,0.0,0,16,15,5,9,0,0,1
278,22,3.0,0.0,2.1,0.9,39.0,12,12.0,6.0,16.3,0.0,0.0,0.0,1,5,14,6,9,1,0,0
279,32,0.0,1.0,1.8,2.0,56.0,12,10.0,2.0,18.0,1.0,0.0,0.0,0,4,15,5,9,0,1,0
280,33,1.0,1.0,1.0,1.0,69.0,12,14.0,5.0,16.9,0.0,0.0,0.0,1,7,20,1,9,0,0,1
281,34,2.0,5.0,1.7,2.3,68.0,12,17.0,6.0,21.9,1.0,0.0,0.0,0,3,15,5,9,0,1,0
282,37,0.0,0.0,0.4,2.2,44.0,12,6.0,1.0,16.8,0.0,0.0,0.0,1,1,16,6,9,0,0,1
283,1,1.0,2.0,1.0,1.1,46.0,12,10.0,4.0,18.1,0.0,0.0,0.0,0,6,14,6,9,0,1,0
284,2,0.0,1.0,1.8,0.5,47.0,12,15.0,4.0,18.1,0.0,0.0,1.0,1,0,14,6,9,0,1,0
285,3,0.0,2.0,1.3,0.8,54.0,12,14.0,2.0,18.3,0.0,0.0,0.0,0,10,20,3,9,0,1,0
286,4,2.0,3.0,1.6,1.8,57.0,12,14.0,5.0,16.3,0.0,0.0,0.0,1,8,14,6,9,0,1,0
287,5,2.0,1.0,1.8,1.7,32.0,12,14.0,6.0,19.4,3.0,0.0,0.0,0,11,19,5,9,1,0,0
288,6,4.0,3.0,2.2,1.5,60.0,12,17.0,3.0,15.9,0.0,1.0,1.0,1,2,15,5,9,1,0,0
289,7,3.0,4.0,1.1,1.8,45.0,12,12.0,5.0,16.2,2.0,0.0,0.0,0,17,15,5,9,0,1,0
290,8,1.0,3.0,0.6,4.3,31.0,15,9.0,1.0,19.3,2.0,0.0,0.0,1,12,20,2,9,0,1,0
291,9,0.0,0.0,0.4,2.2,40.0,12,8.0,1.0,17.9,1.0,0.0,0.0,0,14,15,5,9,0,0,1
