,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
57,20,1,3.0,0.0,3.5,1.3,56.0,12,20.0,9.0,13.9,0.0,0.0,0.0,1,2,15,5,1.3333333333333333,0.3333333333333333,9.333333333333334,3.0,16.733333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,1
58,21,0,2.0,0.0,0.9,2.1,31.0,17,5.0,2.0,22.5,0.0,0.0,0.0,0,5,17,5,1.6666666666666667,0.3333333333333333,13.333333333333334,4.666666666666667,14.000000000000002,0.0,0.0,0.0,1,0,1
59,35,0,2.0,1.0,1.0,0.5,64.0,17,15.0,5.0,20.3,1.0,0.0,0.0,0,10,19,1,2.0,0.3333333333333333,12.333333333333334,5.0,16.566666666666666,0.0,0.0,0.0,1,0,1
60,23,1,2.0,0.0,1.3,0.2,63.0,17,8.0,3.0,12.4,0.0,0.0,0.0,1,15,15,5,2.333333333333333,0.3333333333333333,13.333333333333334,5.333333333333333,18.9,0.3333333333333333,0.0,0.0,1,0,1
61,24,1,3.0,0.0,1.9,0.5,52.0,12,16.0,6.0,18.3,0.0,0.0,0.0,1,14,12,5,2.0,0.3333333333333333,9.333333333333334,3.333333333333333,18.4,0.3333333333333333,0.0,0.0,1,0,1
62,0,1,2.0,0.0,0.6,0.7,35.0,4,7.0,3.0,15.7,0.0,0.0,0.0,1,1,15,5,1.3333333333333333,1.6666666666666667,12.666666666666666,4.0,17.166666666666668,0.6666666666666666,0.3333333333333333,0.3333333333333333,2,0,1
63,11,0,0.0,4.0,0.1,1.7,33.0,4,3.0,1.0,20.6,0.0,0.0,0.0,0,12,15,5,1.6666666666666667,1.0,10.0,4.0,17.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1,0
64,22,1,0.0,3.0,0.3,1.3,43.0,0,6.0,1.0,18.5,1.0,0.0,0.0,1,0,17,5,1.6666666666666667,1.6666666666666667,7.333333333333333,3.333333333333333,18.566666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1,0
65,32,0,0.0,9.0,0.3,3.3,31.0,12,5.0,2.0,18.2,0.0,0.0,0.0,0,11,15,5,0.6666666666666666,2.333333333333333,5.333333333333333,1.6666666666666667,18.26666666666667,0.3333333333333333,0.0,0.0,2,1,0
66,33,1,0.0,0.0,0.4,1.5,35.0,17,5.0,2.0,16.1,0.0,0.0,0.0,1,19,19,2,0.0,5.333333333333333,4.666666666666667,1.3333333333333333,19.1,0.3333333333333333,0.0,0.0,2,0,0
67,34,0,3.0,2.0,0.8,1.9,48.0,12,8.0,3.0,17.5,0.0,0.0,0.0,0,15,15,5,0.0,4.0,5.333333333333333,1.6666666666666667,17.6,0.3333333333333333,0.0,0.0,2,0,1
68,36,0,1.0,1.0,0.7,1.9,28.0,12,10.0,3.0,18.1,0.0,0.0,0.0,0,14,15,5,1.0,3.6666666666666665,6.0,2.333333333333333,17.26666666666667,0.0,0.0,0.0,2,0,0
69,37,1,0.0,0.0,0.4,0.9,42.0,17,7.0,0.0,15.5,1.0,0.0,0.0,1,3,15,5,1.3333333333333333,1.0,7.666666666666667,2.6666666666666665,17.233333333333338,0.0,0.0,0.0,2,0,0
70,1,1,2.0,1.0,1.1,1.0,45.0,17,10.0,4.0,15.0,1.0,0.0,0.0,1,10,15,5,1.3333333333333333,1.0,8.333333333333334,2.0,17.033333333333335,0.3333333333333333,0.0,0.0,2,0,1
71,2,0,2.0,2.0,1.0,2.1,31.0,12,10.0,6.0,13.0,0.0,0.0,0.0,0,8,15,5,1.0,0.6666666666666666,9.0,2.333333333333333,16.200000000000003,0.6666666666666666,0.0,0.0,2,0,0
72,3,1,0.0,1.0,1.0,1.0,54.0,4,15.0,3.0,17.6,1.0,0.0,0.0,1,16,19,2,1.3333333333333333,1.0,9.0,3.333333333333333,14.500000000000002,0.6666666666666666,0.0,0.0,2,1,0
73,4,0,0.0,2.0,0.4,1.9,45.0,12,5.0,3.0,13.6,0.0,0.0,0.0,0,18,20,0,1.3333333333333333,1.3333333333333333,11.666666666666666,4.333333333333333,15.200000000000005,0.6666666666666666,0.0,0.0,2,1,0
74,5,1,2.0,3.0,0.5,2.0,31.0,6,6.0,4.0,14.0,0.0,0.0,0.0,1,17,15,5,0.6666666666666666,1.6666666666666667,10.0,4.0,14.733333333333336,0.3333333333333333,0.0,0.0,2,1,0
75,6,0,3.0,4.0,1.5,2.2,40.0,17,9.0,5.0,12.4,0.0,0.0,0.0,0,9,15,5,0.6666666666666666,2.0,8.666666666666666,3.333333333333333,15.06666666666667,0.3333333333333333,0.0,0.0,2,1,0
76,7,1,3.0,0.0,2.4,0.8,36.0,17,16.0,8.0,13.6,0.0,0.0,0.0,1,7,15,5,1.6666666666666667,3.0,6.666666666666667,4.0,13.333333333333336,0.0,0.0,0.0,2,0,1
77,8,0,0.0,2.0,0.5,1.8,40.0,19,9.0,4.0,21.0,2.0,0.0,0.0,0,5,17,1,2.6666666666666665,2.333333333333333,10.333333333333334,5.666666666666667,13.333333333333336,0.0,0.0,0.0,2,1,0
78,9,1,0.0,2.0,0.6,1.6,59.0,17,6.0,2.0,14.8,0.0,0.0,0.0,1,6,15,5,2.0,2.0,11.333333333333334,5.666666666666667,15.66666666666667,0.6666666666666666,0.0,0.0,2,1,0
79,10,0,0.0,3.0,0.6,2.2,42.0,17,7.0,4.0,15.7,1.0,0.0,0.0,0,13,20,1,1.0,1.3333333333333333,10.333333333333334,4.666666666666667,16.46666666666667,0.6666666666666666,0.0,0.0,2,1,0
80,12,0,0.0,2.0,0.6,1.4,50.0,16,7.0,2.0,18.1,0.0,0.0,0.0,0,3,17,5,0.0,2.333333333333333,7.333333333333333,3.333333333333333,17.166666666666668,1.0,0.0,0.0,2,1,0
81,13,1,1.0,1.0,1.4,1.9,43.0,17,16.0,3.0,15.4,2.0,0.0,0.0,1,15,15,5,0.0,2.333333333333333,6.666666666666667,2.6666666666666665,16.200000000000003,0.3333333333333333,0.0,0.0,2,0,0
82,14,0,0.0,1.0,1.1,2.2,29.0,16,12.0,2.0,15.3,0.0,0.0,0.0,0,4,15,5,0.3333333333333333,2.0,10.0,3.0,16.400000000000002,1.0,0.0,0.0,2,1,0
83,15,1,1.0,1.0,1.5,1.3,34.0,16,11.0,4.0,16.5,1.0,0.0,0.0,1,14,17,5,0.3333333333333333,1.3333333333333333,11.666666666666666,2.333333333333333,16.26666666666667,0.6666666666666666,0.0,0.0,2,0,0
84,16,0,1.0,0.0,1.1,1.3,32.0,12,5.0,1.0,14.0,0.0,0.0,0.0,0,19,15,5,0.6666666666666666,1.0,13.0,3.0,15.733333333333336,1.0,0.0,0.0,2,0,1
85,17,1,1.0,4.0,1.0,2.4,35.0,20,13.0,2.0,14.2,0.0,0.0,0.0,1,12,17,5,0.6666666666666666,0.6666666666666666,9.333333333333334,2.333333333333333,15.266666666666673,0.3333333333333333,0.0,0.0,2,1,0
86,18,0,2.0,3.0,1.3,2.1,21.0,20,4.0,4.0,8.1,0.0,0.0,0.0,0,0,15,5,1.0,1.6666666666666667,9.666666666666666,2.333333333333333,14.9,0.3333333333333333,0.0,0.0,2,1,0
87,19,1,1.0,0.0,0.9,1.7,31.0,16,5.0,2.0,12.3,0.0,0.0,0.0,1,11,12,5,1.3333333333333333,2.333333333333333,7.333333333333333,2.333333333333333,12.1,0.0,0.0,0.0,2,0,1
88,20,0,0.0,3.0,1.3,3.5,44.0,16,10.0,3.0,12.6,1.0,0.0,0.0,0,1,15,5,1.3333333333333333,2.333333333333333,7.333333333333333,2.6666666666666665,11.533333333333337,0.0,0.0,0.0,2,1,0
89,21,1,2.0,1.0,2.6,0.8,43.0,16,12.0,6.0,12.5,0.0,0.0,0.0,1,8,15,5,1.0,2.0,6.333333333333333,3.0,11.000000000000002,0.3333333333333333,0.0,0.0,2,0,1
90,35,1,0.0,2.0,1.7,2.7,37.0,16,14.0,3.0,15.8,0.0,0.0,0.0,1,4,19,1,1.0,1.3333333333333333,9.0,3.6666666666666665,12.466666666666669,0.3333333333333333,0.0,0.0,2,1,0
91,23,0,1.0,0.0,2.0,0.7,49.0,12,19.0,7.0,14.7,1.0,0.0,0.0,0,10,15,5,0.6666666666666666,2.0,12.0,4.0,13.633333333333336,0.3333333333333333,0.0,0.0,2,0,1
92,24,0,3.0,2.0,1.3,2.2,42.0,4,9.0,6.0,17.9,0.0,0.0,0.0,0,17,15,5,1.0,1.0,15.0,5.333333333333333,14.333333333333336,0.3333333333333333,0.0,0.0,2,0,1
93,0,0,2.0,2.0,0.8,0.6,44.0,15,8.0,3.0,17.0,0.0,0.0,0.0,0,10,14,6,2.333333333333333,1.3333333333333333,16.666666666666668,5.333333333333333,15.233333333333334,0.6666666666666666,0.0,0.0,3,0,0
