,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
345,21,1,0.0,1.0,0.0,1.2,19.0,20,0.0,0.0,,0.0,0.0,0.0,2018-01-01,1,12,15,5,0.6666666666666666,3.0,11.0,3.0,19.33333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,0,0
346,28,1,0.0,1.0,2.2,2.5,49.0,17,15.0,5.0,14.4,1.0,0.0,0.0,2018-01-01,1,8,15,5,2.333333333333333,1.3333333333333333,10.333333333333334,3.333333333333333,19.1,0.0,0.3333333333333333,0.3333333333333333,2,1,0,0
347,29,0,3.0,3.0,2.3,2.5,56.0,19,9.0,5.0,17.2,0.0,0.0,0.0,2018-01-01,0,16,15,5,1.6666666666666667,1.0,12.333333333333334,4.666666666666667,17.7,0.3333333333333333,0.0,0.0,2,0,1,0
348,30,1,1.0,0.0,1.7,0.7,53.0,16,20.0,6.0,14.8,1.0,0.0,0.0,2018-01-01,1,17,12,5,2.6666666666666665,1.3333333333333333,12.666666666666666,5.666666666666667,15.866666666666664,0.3333333333333333,0.0,0.0,2,0,0,1
349,31,0,3.0,5.0,1.6,2.8,54.0,16,16.0,8.0,17.9,1.0,0.0,0.0,2018-01-01,0,6,15,6,1.3333333333333333,1.3333333333333333,14.666666666666666,5.333333333333333,15.466666666666669,0.6666666666666666,0.0,0.0,2,1,0,0
350,11,0,2.0,1.0,1.6,2.0,37.0,16,11.0,3.0,19.5,0.0,1.0,1.0,2019-01-01,0,1,15,5,2.333333333333333,2.6666666666666665,15.0,6.333333333333333,16.633333333333333,0.6666666666666666,0.0,0.0,2,0,0,1
351,22,1,1.0,3.0,2.2,3.0,26.0,20,10.0,7.0,14.2,1.0,0.0,0.0,2019-01-01,1,12,14,6,2.0,2.0,15.666666666666666,5.666666666666667,17.4,0.6666666666666666,0.3333333333333333,0.3333333333333333,2,1,0,0
352,32,0,1.0,3.0,0.6,2.0,45.0,17,8.0,2.0,21.3,0.0,0.0,0.0,2019-01-01,0,10,15,5,2.0,3.0,12.333333333333334,6.0,17.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,2,1,0,0
353,33,1,3.0,1.0,1.4,1.5,41.0,17,13.0,6.0,18.9,3.0,0.0,0.0,2019-01-01,1,7,14,6,1.3333333333333333,2.333333333333333,9.666666666666666,4.0,18.33333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0,0,1
354,34,0,3.0,1.0,1.2,2.5,35.0,17,6.0,3.0,19.8,1.0,0.0,0.0,2019-01-01,0,16,20,4,1.6666666666666667,2.333333333333333,10.333333333333334,5.0,18.133333333333333,1.3333333333333333,0.0,0.0,2,0,0,1
